model,resolved_model,reasoning,dialect,family,modality,difficulty,reasoning_subset,protocol,n,valid,correct,input_tokens,output_tokens,reasoning_tokens,cost_usd,latency_ms,accuracy,accuracy_ci_low,accuracy_ci_high,valid_rate
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.lisp-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,1,538,31,0,0.000034284,4200.1269999999995,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.lisp-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,3,606,29,0,0.000037316,2658.264,0.75,0.30064184258240184,0.9544127391902995,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.plain-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,1,134,8,0,0.000008064,570.693,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.plain-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,1,151,8,0,0.000009424,854.3779999999999,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.plain-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,1,534,31,0,0.000033964,4432.496999999999,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.plain-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,0,602,32,0,0.000037536,2456.3540000000003,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.python-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,1,135,8,0,0.000008144,1213.466,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.python-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,1,152,8,0,0.000009504,577.566,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.python-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,1,541,31,0,0.000034524,2593.2690000000002,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.python-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,1,609,31,0,0.000037916,1861.694,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.rust-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,0,151,6,0,0.000009064,530.4010000000001,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.rust-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,1,168,8,0,0.000010784,594.3040000000001,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.rust-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,2,603,26,0,0.000036536,4225.163,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.rust-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,0,671,30,0,0.000042696,3065.5,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.scheme-v1,pattern,text,1. easy,False,reduce-infer-v1,1,1,0,135,7,0,0.000007964,534.378,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.scheme-v1,pattern,text,1. easy,False,reduce-taught-v1,1,1,0,152,7,0,0.000009324,2457.9049999999997,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.scheme-v1,pattern,text,1. easy,True,reduce-infer-v1,4,4,2,538,30,0,0.000034104,6191.691,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,pattern.scheme-v1,pattern,text,1. easy,True,reduce-taught-v1,4,4,1,606,31,0,0.000037676,5419.5380000000005,0.25,0.04558726080970055,0.6993581574175981,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-jitter-v1,prose,text,1. easy,False,reduce-infer-v1,1,1,1,152,8,0,0.000009504,591.4970000000001,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-jitter-v1,prose,text,1. easy,False,reduce-taught-v1,1,1,1,169,8,0,0.000010864,816.627,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-jitter-v1,prose,text,1. easy,True,reduce-infer-v1,4,4,2,564,30,0,0.000036184,2221.069,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-jitter-v1,prose,text,1. easy,True,reduce-taught-v1,4,4,0,632,32,0,0.000039936,3929.9410000000003,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-plain-v1,prose,text,1. easy,False,reduce-infer-v1,1,1,1,152,8,0,0.000009504,2926.7780000000002,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-plain-v1,prose,text,1. easy,False,reduce-taught-v1,1,1,1,169,8,0,0.000010864,20816.713,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-plain-v1,prose,text,1. easy,True,reduce-infer-v1,4,4,2,563,29,0,0.000035924,4566.824,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,prose.containment-plain-v1,prose,text,1. easy,True,reduce-taught-v1,4,4,0,631,32,0,0.000039856,2664.352,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-jitter-v1,trees,text,1. easy,False,reduce-infer-v1,1,1,0,136,6,0,0.000007864,821.797,0.0,0.0,0.7934506856227626,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-jitter-v1,trees,text,1. easy,False,reduce-taught-v1,1,1,1,153,7,0,0.000009404,430.26399999999995,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-jitter-v1,trees,text,1. easy,True,reduce-infer-v1,4,4,2,553,29,0,0.000035124,3638.621,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-jitter-v1,trees,text,1. easy,True,reduce-taught-v1,4,4,2,621,29,0,0.000038516,2217.147,0.5,0.15003898915214947,0.8499610108478506,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-plain-v1,trees,text,1. easy,False,reduce-infer-v1,1,1,1,136,8,0,0.000008224,607.188,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-plain-v1,trees,text,1. easy,False,reduce-taught-v1,1,1,1,153,8,0,0.000009584,1029.318,1.0,0.20654931437723745,1.0,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-plain-v1,trees,text,1. easy,True,reduce-infer-v1,4,4,0,542,31,0,0.000034604,2237.45,0.0,0.0,0.4898908364545973,1.0
deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,off,trees.indent-plain-v1,trees,text,1. easy,True,reduce-taught-v1,4,4,1,610,31,0,0.000037996,4861.905000000001,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,True,reduce-infer-v1,4,4,0,5020,15776,15728,0.012459500,160792.577,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-arc-plain-v1,biopolymer,image,1. easy,True,reduce-taught-v1,4,4,0,5088,15768,15720,0.0124620,102906.592,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-arc-plain-v1,biopolymer,image,2. medium,True,reduce-infer-v1,1,1,0,1255,3944,3932,0.003114875,27474.176,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-arc-plain-v1,biopolymer,image,2. medium,True,reduce-taught-v1,1,1,0,1272,3942,3930,0.0031155,25896.085,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,4,888,15760,15721,0.011931000,105764.24,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,3,952,15767,15722,0.011944250,103884.073,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,2. medium,True,reduce-infer-v1,2,2,1,478,7884,7861,0.005972750,52131.239,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-filler-v1,biopolymer,text,2. medium,True,reduce-taught-v1,2,2,2,510,7883,7861,0.005976000,53032.812999999995,1.0,0.34238022750665303,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-infer-v1,4,4,3,864,15765,15720,0.011931750,107330.702,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,1. easy,True,reduce-taught-v1,4,4,3,928,15766,15726,0.011940500,101692.454,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,2. medium,True,reduce-infer-v1,2,2,1,458,7881,7858,0.005968000,54214.628,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,biopolymer.rna-dotbracket-plain-v1,biopolymer,text,2. medium,True,reduce-taught-v1,2,2,1,490,7885,7862,0.005975000,52568.807,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,blocks.plain-v1,blocks,image,1. easy,True,reduce-infer-v1,4,4,4,4956,15771,15727,0.012447750,109486.742,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,blocks.plain-v1,blocks,image,1. easy,True,reduce-taught-v1,4,4,3,5036,15770,15725,0.012457000,169463.084,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,blocks.plain-v1,blocks,image,2. medium,True,reduce-infer-v1,1,1,0,1239,3942,3930,0.003111375,25403.495,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,blocks.plain-v1,blocks,image,2. medium,True,reduce-taught-v1,1,1,1,1259,3943,3932,0.003114625,28129.724,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-infer-v1,4,4,2,871,15773,15727,0.011938625,107816.861,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-jitter-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,2,939,15772,15726,0.011946375,107244.947,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-jitter-v1,embedding,text,2. medium,True,reduce-infer-v1,2,2,0,467,7884,7860,0.005971375,53098.23,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-jitter-v1,embedding,text,2. medium,True,reduce-taught-v1,2,2,0,501,7882,7858,0.005974125,50517.059,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-plain-v1,embedding,text,1. easy,True,reduce-infer-v1,4,4,1,871,15767,15720,0.011934125,100990.90299999999,0.25,0.04558726080970055,0.6993581574175981,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-plain-v1,embedding,text,1. easy,True,reduce-taught-v1,4,4,2,939,15767,15721,0.011942625,104116.38399999999,0.5,0.15003898915214947,0.8499610108478506,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-plain-v1,embedding,text,2. medium,True,reduce-infer-v1,2,2,0,467,7889,7865,0.005975125,49917.231,0.0,0.0,0.6576197724933469,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,embedding.center-clause-plain-v1,embedding,text,2. medium,True,reduce-taught-v1,2,2,1,501,7884,7861,0.005975625,52085.009,0.5,0.09453120573423074,0.9054687942657693,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,enclosure.plain-v1,enclosure,image,1. easy,True,reduce-infer-v1,4,4,4,5056,15760,15716,0.012452,102813.188,1.0,0.5101091635454027,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,enclosure.plain-v1,enclosure,image,1. easy,True,reduce-taught-v1,4,4,0,5128,6808,6760,0.00574700,88713.16500000001,0.0,0.0,0.4898908364545973,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,enclosure.plain-v1,enclosure,image,2. medium,True,reduce-infer-v1,1,1,1,1264,3940,3929,0.003113,26051.403000000002,1.0,0.20654931437723745,1.0,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,enclosure.plain-v1,enclosure,image,2. medium,True,reduce-taught-v1,1,1,0,1282,1702,1690,0.00143675,22331.704999999998,0.0,0.0,0.7934506856227626,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,graph.plain-v1,graph,image,1. easy,True,reduce-infer-v1,4,4,3,5056,15762,15717,0.01245350,111320.50499999999,0.75,0.30064184258240184,0.9544127391902995,1.0
google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite-20260507,high,graph.plain-v1,graph,image,1. easy,True,reduce-taught-v1,4,4,2,5132,15770,15724,0.012469000,111238.87700000001,0.5,0.15003898915214947,0.8499610108478506,1.0
